Time[y] reactor-In[t] Reactor-Out[t] Inv[t] 92234[t] 92235[t] 92236[t] 92238[t] 94238[t] 94239[t] 94240[t] 94241[t] 94242[t] 95241[t] 95242[t] 95243[t] 96242[t] 96243[t] 96244[t] 96245[t] 93237[t] 
18.8333 574 492 492 0.0011754 2.35002 1.8618 405.093 0.104036 2.4722 1.13033 0.731159 0.380345 0.0183333 0.000371657 0.08753 0.00959617 0.000250216 0.0358562 0.00229485 0.237303 
18.9167 574 492 492 0.0011754 2.35002 1.8618 405.093 0.104036 2.4722 1.13033 0.731159 0.380345 0.0183333 0.000371657 0.08753 0.00959617 0.000250216 0.0358562 0.00229485 0.237303 
19 574 492 492 0.0011754 2.35002 1.8618 405.093 0.104036 2.4722 1.13033 0.731159 0.380345 0.0183333 0.000371657 0.08753 0.00959617 0.000250216 0.0358562 0.00229485 0.237303 
19.0833 574 492 492 0.0011754 2.35002 1.8618 405.093 0.104036 2.4722 1.13033 0.731159 0.380345 0.0183333 0.000371657 0.08753 0.00959617 0.000250216 0.0358562 0.00229485 0.237303 
19.1667 574 492 492 0.0011754 2.35002 1.8618 405.093 0.104036 2.4722 1.13033 0.731159 0.380345 0.0183333 0.000371657 0.08753 0.00959617 0.000250216 0.0358562 0.00229485 0.237303 
19.25 574 492 492 0.0011754 2.35002 1.8618 405.093 0.104036 2.4722 1.13033 0.731159 0.380345 0.0183333 0.000371657 0.08753 0.00959617 0.000250216 0.0358562 0.00229485 0.237303 
19.3333 574 492 492 0.0011754 2.35002 1.8618 405.093 0.104036 2.4722 1.13033 0.731159 0.380345 0.0183333 0.000371657 0.08753 0.00959617 0.000250216 0.0358562 0.00229485 0.237303 
19.4167 574 492 492 0.0011754 2.35002 1.8618 405.093 0.104036 2.4722 1.13033 0.731159 0.380345 0.0183333 0.000371657 0.08753 0.00959617 0.000250216 0.0358562 0.00229485 0.237303 
19.5 574 492 492 0.0011754 2.35002 1.8618 405.093 0.104036 2.4722 1.13033 0.731159 0.380345 0.0183333 0.000371657 0.08753 0.00959617 0.000250216 0.0358562 0.00229485 0.237303 
19.5833 574 492 492 0.0011754 2.35002 1.8618 405.093 0.104036 2.4722 1.13033 0.731159 0.380345 0.0183333 0.000371657 0.08753 0.00959617 0.000250216 0.0358562 0.00229485 0.237303 
19.6667 574 492 492 0.0011754 2.35002 1.8618 405.093 0.104036 2.4722 1.13033 0.731159 0.380345 0.0183333 0.000371657 0.08753 0.00959617 0.000250216 0.0358562 0.00229485 0.237303 
19.75 574 492 492 0.0011754 2.35002 1.8618 405.093 0.104036 2.4722 1.13033 0.731159 0.380345 0.0183333 0.000371657 0.08753 0.00959617 0.000250216 0.0358562 0.00229485 0.237303 
19.8333 574 492 492 0.0011754 2.35002 1.8618 405.093 0.104036 2.4722 1.13033 0.731159 0.380345 0.0183333 0.000371657 0.08753 0.00959617 0.000250216 0.0358562 0.00229485 0.237303 
19.9167 574 492 492 0.0011754 2.35002 1.8618 405.093 0.104036 2.4722 1.13033 0.731159 0.380345 0.0183333 0.000371657 0.08753 0.00959617 0.000250216 0.0358562 0.00229485 0.237303 
20 574 492 492 0.0011754 2.35002 1.8618 405.093 0.104036 2.4722 1.13033 0.731159 0.380345 0.0183333 0.000371657 0.08753 0.00959617 0.000250216 0.0358562 0.00229485 0.237303 
20.0833 574 492 492 0.0011754 2.35002 1.8618 405.093 0.104036 2.4722 1.13033 0.731159 0.380345 0.0183333 0.000371657 0.08753 0.00959617 0.000250216 0.0358562 0.00229485 0.237303 
20.1667 574 492 492 0.0011754 2.35002 1.8618 405.093 0.104036 2.4722 1.13033 0.731159 0.380345 0.0183333 0.000371657 0.08753 0.00959617 0.000250216 0.0358562 0.00229485 0.237303 
20.25 574 492 492 0.0011754 2.35002 1.8618 405.093 0.104036 2.4722 1.13033 0.731159 0.380345 0.0183333 0.000371657 0.08753 0.00959617 0.000250216 0.0358562 0.00229485 0.237303 
20.3333 574 492 492 0.0011754 2.35002 1.8618 405.093 0.104036 2.4722 1.13033 0.731159 0.380345 0.0183333 0.000371657 0.08753 0.00959617 0.000250216 0.0358562 0.00229485 0.237303 
20.4167 574 492 492 0.0011754 2.35002 1.8618 405.093 0.104036 2.4722 1.13033 0.731159 0.380345 0.0183333 0.000371657 0.08753 0.00959617 0.000250216 0.0358562 0.00229485 0.237303 
20.5 574 492 492 0.0011754 2.35002 1.8618 405.093 0.104036 2.4722 1.13033 0.731159 0.380345 0.0183333 0.000371657 0.08753 0.00959617 0.000250216 0.0358562 0.00229485 0.237303 
20.5833 574 492 492 0.0011754 2.35002 1.8618 405.093 0.104036 2.4722 1.13033 0.731159 0.380345 0.0183333 0.000371657 0.08753 0.00959617 0.000250216 0.0358562 0.00229485 0.237303 
20.6667 574 492 492 0.0011754 2.35002 1.8618 405.093 0.104036 2.4722 1.13033 0.731159 0.380345 0.0183333 0.000371657 0.08753 0.00959617 0.000250216 0.0358562 0.00229485 0.237303 
20.75 574 492 492 0.0011754 2.35002 1.8618 405.093 0.104036 2.4722 1.13033 0.731159 0.380345 0.0183333 0.000371657 0.08753 0.00959617 0.000250216 0.0358562 0.00229485 0.237303 
20.8333 574 492 492 0.0011754 2.35002 1.8618 405.093 0.104036 2.4722 1.13033 0.731159 0.380345 0.0183333 0.000371657 0.08753 0.00959617 0.000250216 0.0358562 0.00229485 0.237303 
20.9167 574 492 492 0.0011754 2.35002 1.8618 405.093 0.104036 2.4722 1.13033 0.731159 0.380345 0.0183333 0.000371657 0.08753 0.00959617 0.000250216 0.0358562 0.00229485 0.237303 
21 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
21.0833 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
21.1667 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
21.25 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
21.3333 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
21.4167 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
21.5 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
21.5833 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
21.6667 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
21.75 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
21.8333 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
21.9167 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
22 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
22.0833 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
22.1667 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
22.25 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
22.3333 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
22.4167 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
22.5 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
22.5833 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
22.6667 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
22.75 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
22.8333 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
22.9167 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
23 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
23.0833 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
23.1667 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
23.25 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
23.3333 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
23.4167 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
23.5 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
23.5833 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
23.6667 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
23.75 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
23.8333 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
23.9167 656 574 574 0.0013713 2.74169 2.1721 472.609 0.121375 2.88423 1.31872 0.853019 0.443736 0.0213888 0.0004336 0.102118 0.0111955 0.000291919 0.0418322 0.00267733 0.276853 
24 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
24.0833 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
24.1667 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
24.25 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
24.3333 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
24.4167 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
24.5 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
24.5833 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
24.6667 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
24.75 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
24.8333 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
24.9167 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
25 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
25.0833 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
25.1667 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
25.25 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
25.3333 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
25.4167 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
25.5 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
25.5833 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
25.6667 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
25.75 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
25.8333 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
25.9167 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
26 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
26.0833 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
26.1667 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
26.25 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
26.3333 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
26.4167 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
26.5 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
26.5833 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
26.6667 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
26.75 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
26.8333 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
26.9167 738 656 656 0.0015672 3.13335 2.4824 540.124 0.138714 3.29626 1.50711 0.974879 0.507126 0.0244444 0.000495543 0.116707 0.0127949 0.000333622 0.0478082 0.00305981 0.316404 
27 820 738 738 0.0017631 3.52502 2.7927 607.64 0.156053 3.7083 1.6955 1.09674 0.570517 0.0274999 0.000557486 0.131295 0.0143943 0.000375324 0.0537843 0.00344228 0.355954 
27.0833 820 738 738 0.0017631 3.52502 2.7927 607.64 0.156053 3.7083 1.6955 1.09674 0.570517 0.0274999 0.000557486 0.131295 0.0143943 0.000375324 0.0537843 0.00344228 0.355954 
27.1667 820 738 738 0.0017631 3.52502 2.7927 607.64 0.156053 3.7083 1.6955 1.09674 0.570517 0.0274999 0.000557486 0.131295 0.0143943 0.000375324 0.0537843 0.00344228 0.355954 
27.25 820 738 738 0.0017631 3.52502 2.7927 607.64 0.156053 3.7083 1.6955 1.09674 0.570517 0.0274999 0.000557486 0.131295 0.0143943 0.000375324 0.0537843 0.00344228 0.355954 
27.3333 820 738 738 0.0017631 3.52502 2.7927 607.64 0.156053 3.7083 1.6955 1.09674 0.570517 0.0274999 0.000557486 0.131295 0.0143943 0.000375324 0.0537843 0.00344228 0.355954 
27.4167 820 738 738 0.0017631 3.52502 2.7927 607.64 0.156053 3.7083 1.6955 1.09674 0.570517 0.0274999 0.000557486 0.131295 0.0143943 0.000375324 0.0537843 0.00344228 0.355954 
27.5 820 738 738 0.0017631 3.52502 2.7927 607.64 0.156053 3.7083 1.6955 1.09674 0.570517 0.0274999 0.000557486 0.131295 0.0143943 0.000375324 0.0537843 0.00344228 0.355954 
