TIME(y) R_IN(t) R_OUT(t) STOCK(t)  
32.1667 902 783.788 783.786
32.25 902 783.788 783.786
32.3333 902 783.788 783.786
32.4167 902 783.788 783.786
32.5 902 783.788 783.786
32.5833 902 783.788 783.786
32.6667 902 783.788 783.786
32.75 902 783.788 783.786
32.8333 902 783.788 783.786
32.9167 902 783.788 783.786
33 902 783.788 783.786
33.0833 984 862.167 862.165
33.1667 984 862.167 862.165
33.25 984 862.167 862.165
33.3333 984 862.167 862.165
33.4167 984 862.167 862.165
33.5 984 862.167 862.165
33.5833 984 862.167 862.165
33.6667 984 862.167 862.165
33.75 984 862.167 862.165
33.8333 984 862.167 862.165
33.9167 984 862.167 862.165
34 984 862.167 862.165
34.0833 984 862.167 862.165
34.1667 984 862.167 862.165
34.25 984 862.167 862.165
34.3333 984 862.167 862.165
34.4167 984 862.167 862.165
34.5 984 862.167 862.165
34.5833 984 862.167 862.165
34.6667 984 862.167 862.165
34.75 984 862.167 862.165
34.8333 984 862.167 862.165
34.9167 984 862.167 862.165
35 984 862.167 862.165
35.0833 984 862.167 862.165
35.1667 984 862.167 862.165
35.25 984 862.167 862.165
35.3333 984 862.167 862.165
35.4167 984 862.167 862.165
35.5 984 862.167 862.165
35.5833 984 862.167 862.165
35.6667 984 862.167 862.165
35.75 984 862.167 862.165
35.8333 984 862.167 862.165
35.9167 984 862.167 862.165
36 984 862.167 862.165
36.0833 1066 940.547 940.545
36.1667 1066 940.547 940.545
36.25 1066 940.547 940.545
36.3333 1066 940.547 940.545
36.4167 1066 940.547 940.545
36.5 1066 940.547 940.545
36.5833 1066 940.547 940.545
36.6667 1066 940.547 940.545
36.75 1066 940.547 940.545
36.8333 1066 940.547 940.545
36.9167 1066 940.547 940.545
37 1066 940.547 940.545
37.0833 1066 940.547 940.545
37.1667 1066 940.547 940.545
37.25 1066 940.547 940.545
37.3333 1066 940.547 940.545
37.4167 1066 940.547 940.545
37.5 1066 940.547 940.545
37.5833 1066 940.547 940.545
37.6667 1066 940.547 940.545
37.75 1066 940.547 940.545
37.8333 1066 940.547 940.545
37.9167 1066 940.547 940.545
38 1066 940.547 940.545
38.0833 1066 940.547 940.545
38.1667 1066 940.547 940.545
38.25 1066 940.547 940.545
38.3333 1066 940.547 940.545
38.4167 1066 940.547 940.545
38.5 1066 940.547 940.544
38.5833 1066 940.547 940.544
38.6667 1066 940.547 940.544
